image_names	composition	xmin	xmax	ymin	ymax
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal1.png	Calcified Tissue	298	349	146	170
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal2.png	Calcified Tissue	281	358	138	171
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal2.png	Fibrous Tissue	261	306	175	201
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal2.png	Lipid Core	329	356	171	188
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal2.png	Lipid Core	383	402	134	163
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal3.png	Calcified Tissue	355	414	139	175
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal3.png	Lipid Core	423	485	142	164
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal3.png	Calcified Tissue	481	520	128	140
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal4.png	Calcified Tissue	303	370	145	174
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal5.png	Calcified Tissue	176	256	171	202
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal5.png	Lipid Core	264	298	167	191
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal5.png	Fibrous Tissue	297	360	152	163
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal6.png	Calcified Tissue	207	275	140	194
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal7.png	Calcified Tissue	321	385	135	168
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal8.png	Calcified Tissue	352	438	170	197
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal8.png	Lipid Core	456	499	179	212
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal8.png	Fibrous Tissue	441	504	145	178
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal9.png	Calcified Tissue	344	369	140	161
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal9.png	Calcified Tissue	137	194	137	164
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal9.png	Calcified Tissue	447	517	136	170
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal9.png	Calcified Tissue	415	437	147	168
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal9.png	Fibrous Tissue	250	336	133	155
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal10.png	Calcified Tissue	347	514	133	193
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal11.png	Lipid Core	457	521	125	139
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal12.png	Fibrous Tissue	172	262	170	205
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal13.png	Calcified Tissue	271	346	169	210
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal14.png	Calcified Tissue	276	344	164	207
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal15.png	Calcified Tissue	304	374	165	202
